DO Number,Referenzbeleg,Date,Client Order Reference,Courier,Tracking Reference,Comission,Comission 2,
KL592804,KA523499,08.08.19,302-2323464-3669920,GLS Normalpaket,352559721882,14364585731811,,,
KL592805,KA523499,08.08.19,302-2323464-3669920,GLS Normalpaket,352559721899,14364585731811,,,
KL595873,KA525721,08.08.19,028-5781168-6503534,,352559721561,64771361953187,,,
KL594016,KA524031,08.08.19,304-1751895-4332305,,352559721509,68957681474787,,,
KL595515,KA526029,08.08.19,303-4084130-1134766,,352559721486,60112152248307,,,
KL594991,KA526121,08.08.19,304-1650993-5692332,,352559721493,09595798670419,,,
KL595514,KA526029,08.08.19,303-4084130-1134766,,352559721585,24215713840491,,,
KL594496,KA523615,08.08.19,302-7121258-6823562,,352559721592,39628506806771,,,
KL594495,KA523615,08.08.19,302-7121258-6823562,,352559721608,39628506806771,,,
KL596077,KA526785,08.08.19,sand-123825455763-2138885830002,,352559721523,,,,
KL594200,KA523871,08.08.19,303-5438308-3803549,,352559721646,64166481012859,,,
KL593407,KA524578,08.08.19,306-4382744-9649148,GLS Normalpaket,352559721547,17487191391883,,,
KL593478,KA524514,08.08.19,306-1282321-3691524,,352559721615,13334133945091,,,
KL597133,KA528230,08.08.19,sand-123257942590-2139166390002,,352559721769,,,,
KL595038,KA526076,08.08.19,303-8170712-0446761,,352559721622,09107596469851,,,
KL593408,KA524578,08.08.19,306-4382744-9649148,GLS Normalpaket,352559721554,17487191391883,,,
KL596964,KA528064,08.08.19,sand-123352643745-2139421630002,,352559721783,,,,
KL597039,KA528170,08.08.19,sand-MU5PKH4,,352559721707,,,,
KL597068,KA528151,08.08.19,sand-MSD9KH4,,352559721714,,,,
KL596965,KA528064,08.08.19,sand-123352643745-2139421630002,,352559721790,,,,
KL597263,KA528444,08.08.19,125-107-843,,352559721738,,,,
KL597146,KA528218,08.08.19,sand-M5KYSH4,,352559722001,,,,
KL597264,KA528444,08.08.19,125-107-843,,352559721745,,,,
KL596285,KA526929,08.08.19,2469716150,GLS Normalpaket,352559721639,,,,
KL597002,KA528099,08.08.19,sand-MF1CKH4,,352559722018,,,,
KL597431,KA528445,08.08.19,521-000-011,,352559721752,,,,
KL592393,KA525503,08.08.19,1090288829,DPD Predict,01345056172755,,,,
KL597076,KA528145,08.08.19,sand-M7PQKH4,,352559721905,,,,
KL595348,KA526351,08.08.19,305-7663190-7689942,GLS Normalpaket,352559721929,19643164887851,,,
KL596798,KA527133,08.08.19,4289916801-A-1,DPD Predict,01345057491283,,,,
KL599271,KA530117,08.08.19,302-2807028-7760344,DPD Predict,01345057491628,34065727454019,,,
KL597422,KA528452,08.08.19, 303-8894244-3462726,,352559721936,39324155719179,,,
KL597412,KA528312,08.08.19,2472345700-1,GLS Normalpaket,352559721974,,,,
KL590248,KA522272,08.08.19,306-0779254-4251512,,143233966893,15291341763691,,,
KL593956,KA524084,08.08.19,304-4114370-3653127,DPD Predict,01345057491640,51264624745979,,,
KL590551,KA522380,08.08.19,403-1901053-7577953,DPD Predict,01345057491307,51290368002859,,,
KL590839,KA521974,08.08.19,303-0787267-7599544,GLS Normalpaket,352559720069,66491247397091,,,
KL588140,KA519726,08.08.19,303-2782619-1897947,GLS Normalpaket,352559720298,20792349834923,,,
KL574712,KA509405,08.08.19,305-8434645-4335559,GLS Normalpaket,352559724173,64566833923459,,,
KL575147,KA509037,08.08.19,304-3603262-2169105,DPD Predict,01345057491642,36812694681123,,,
KL579495,KA512873,08.08.19,sand-MADGCH4,GLS Normalpaket,352559724210,,,,
KL597200,KA528259,08.08.19,sand-252974582016,,352559721660,,,,
KL597287,KA528426,08.08.19,1090764061,,352560297253,,,,
KL597293,KA528420,08.08.19,1090745015,,352560297307,,,,
KL597309,KA528407,08.08.19,1090710847,,352560297284,,,,
KL597280,KA528432,08.08.19,1090773951,,352560297291,,,,
KL597319,KA528398,08.08.19,1090690985,,352560297383,,,,
KL593225,KA524741,08.08.19,402-2093082-3148334,DPD Predict,01345057491425,59730615391203,,,
KL597291,KA528422,08.08.19,1090756823,,352560297321,,,,
KL597290,KA528423,08.08.19,1090758155,,352560297413,,,,
KL597299,KA528416,08.08.19,1090732399,,352560297338,,,,
KL587599,KA506922,08.08.19,sand-173911766007-2036188490007,GLS Normalpaket,352559720236,,,,
KL598050,KA529919,08.08.19,1090746281,GLS Normalpaket,352560297420,,,,
KL575392,KA508837,08.08.19,303-4769245-9237919,GLS Normalpaket,352559724142,30114274099379,,,
KL575388,KA508839,08.08.19,303-4870154-8917938,GLS Normalpaket,352559724159,63563521081003,,,
KL598059,KA529910,08.08.19,1090695631,GLS Normalpaket,352560297444,,,,
KL597300,KA528415,08.08.19,1090730993,,352560297260,,,,
KL597286,KA528427,08.08.19,1090766211,,352560297277,,,,
KL597301,KA528414,08.08.19,1090727125,,352560297345,,,,
KL574529,KA509576,08.08.19,306-6121181-7773901,GLS Normalpaket,352559724180,03236411619779,,,
KL597302,KA528413,08.08.19,1090725305,,352560297352,,,,
KL597310,KA528406,08.08.19,1090710797,,352560297369,,,,
KL581663,KA514705,08.08.19,sand-173968732001-2039082726007,GLS Normalpaket,352559720243,,,,
KL597304,KA528411,08.08.19,1090720331,,352560297390,,,,
KL574501,KA509603,08.08.19,306-7086767-6682709,GLS Normalpaket,352559724197,06402651126227,,,
KL597281,KA528431,08.08.19,1090773885,,352560297406,,,,
KL584521,KA515740,08.08.19,302-7553097-6565968,GLS Normalpaket,352559718929,50981608410195,,,
KL578344,KA512260,08.08.19,1089148825,GLS Normalpaket,352560297468,,,,
KL596117,KA526754,08.08.19,sand-MGQLSH4,GLS Normalpaket,352559719681,,,,
KL596534,KA527344,08.08.19,1090634859,,352560297222,,,,
KL597415,KA528309,08.08.19,2472321760,GLS Normalpaket,352559720168,,,,
KL585980,KA518209,08.08.19,303-9451625-4869929,GLS Normalpaket,352559718981,56523915507875,,,
KL597416,KA528308,08.08.19,2472304450,GLS Normalpaket,352559720175,,,,
KL597417,KA528307,08.08.19,2472286440,GLS Normalpaket,352559720182,,,,
KL597418,KA528306,08.08.19,2472263290,GLS Normalpaket,352559720199,,,,
