DO Number;Referenzbeleg;Date;Client Order Reference;Courier;Tracking Reference;Comission;Comission 2
KL574692;KA509424;23.07.2019;305-9112852-3735522;;352559620802;6,4171E+13;
KL574691;KA509424;23.07.2019;305-9112852-3735522;;352559619387;3,55469E+13;
KL577290;KA511404;23.07.2019;305-9254348-7903521;DPD Predict;1345057486422;6,57228E+13;
KL577288;KA511406;23.07.2019;305-9441621-8747507;GLS Normalpaket;352559616898;4,59E+13;
KL570894;KA505474;23.07.2019;305-9489611-7673919;GLS Normalpaket;352559615679;4,95866E+13;
KL577287;KA511407;23.07.2019;305-9499656-7850747;GLS Paket OVL Berlin;102986794511;3,18016E+13;
KL000595Mega;KA497961;23.07.2019;305-9587210-7497954;;143233959055;1,20912E+13;
KL577285;KA511409;23.07.2019;305-9805082-0275522;GLS Normalpaket;352559616683;4,94906E+13;
KL577284;KA511409;23.07.2019;305-9805082-0275522;GLS Normalpaket;352559616690;4,94906E+13;
KL577283;KA511410;23.07.2019;305-9820335-6153929;GLS Normalpaket;352559615426;5,62192E+13;
KL577282;KA511411;23.07.2019;305-9867780-9286728;DPD Predict;1345057486023;5,26117E+12;
KL577037;KA510247;23.07.2019;305-9907771-6739547;GLS Normalpaket;352559617277;2,24634E+13;
KL571680;KA506638;23.07.2019;306-0115210-8901107;;352559622554;2,40804E+13;
KL570884;KA505484;23.07.2019;306-0186015-6416377;DPD Predict;1345057486506;4,69129E+13;
KL577281;KA511412;23.07.2019;306-0204534-7144320;;352559620628;1,10444E+13;
KL574670;KA509444;23.07.2019;306-0274262-0333947;DPD Predict;1345057486778;1,93594E+11;
KL571678;KA506640;23.07.2019;306-0337987-3547541;DPD Predict;1345057486066;4,69436E+13;
KL577279;KA511414;23.07.2019;306-0486388-9477128;GLS Normalpaket;352559612678;2,25835E+13;
KL577277;KA511416;23.07.2019;306-0609488-5504318;DPD Predict;1345057486916;7,91527E+12;
KL577276;KA511417;23.07.2019;306-0775439-4991517;DPD Predict;1345057486523;1,41952E+13;
KL574655;KA509459;23.07.2019;306-0909168-5140305;DPD Predict;1345057486473;3,50936E+13;
KL577274;KA511419;23.07.2019;306-0930793-7073163;;352559621786;1,05072E+13;
KL570870;KA505498;23.07.2019;306-0962487-7033913;GLS Normalpaket;352559616348;4,04303E+13;
KL572971;KA507555;23.07.2019;306-1020186-5010719;GLS Normalpaket;352559613835;8,40769E+12;
KL574651;KA509462;23.07.2019;306-1121772-8710735;DPD Predict;1345057486303;1,65182E+13;
KL574652;KA509462;23.07.2019;306-1121772-8710735;DPD Predict;1345057486304;1,65182E+13;
KL577273;KA511420;23.07.2019;306-1133609-2907547;DPD Predict;1345057486318;1,92517E+13;
KL577271;KA511422;23.07.2019;306-1277627-5376336;DPD Predict;1345057486910;7,54299E+12;
KL577035;KA510249;23.07.2019;306-1283539-7380340;DPD Predict;1345057487086;6,47274E+13;
KL571670;KA506647;23.07.2019;306-1384037-3077942;GLS Normalpaket;352559616096;2,4336E+13;
KL571669;KA506648;23.07.2019;306-1408346-3161969;GLS Normalpaket;352559613385;7,06824E+12;
KL577269;KA511424;23.07.2019;306-1526243-0425958;;352559622134;5,29156E+13;
KL574644;KA509469;23.07.2019;306-1528010-4865906;DPD Predict;1345057487073;5,98714E+13;
KL568511;KA503986;23.07.2019;306-1576280-9684316;DPD Predict;1345057486054;3,0392E+13;
KL577034;KA510250;23.07.2019;306-1584408-6697113;DPD Predict;1345057486793;3,12927E+13;
KL577033;KA510251;23.07.2019;306-1665740-2189946;DPD Predict;1345057487087;3,26983E+13;
KL574640;KA509473;23.07.2019;306-1698241-8210737;GLS Normalpaket;352559614351;3,5228E+13;
KL574638;KA509475;23.07.2019;306-1733415-0793922;DPD Predict;1345057487074;1,14321E+13;
KL577031;KA510253;23.07.2019;306-2074346-6244362;GLS Normalpaket;352559612500;5,40522E+13;
KL577029;KA510254;23.07.2019;306-2152625-5352313;;352559621199;4,06603E+13;
KL577030;KA510254;23.07.2019;306-2152625-5352313;;352559621205;4,06603E+13;
KL574631;KA509482;23.07.2019;306-2221794-7581138;DPD Predict;1345057486834;9,76157E+12;
KL572962;KA507563;23.07.2019;306-2314792-4459564;;352559622592;2,93348E+13;
KL572963;KA507563;23.07.2019;306-2314792-4459564;;352559622608;2,93348E+13;
KL574627;KA509486;23.07.2019;306-2339939-4218719;GLS Normalpaket;352559614368;1,39313E+13;
KL574625;KA509488;23.07.2019;306-2376625-3788331;GLS Normalpaket;352559616218;3,03167E+13;
KL577266;KA511427;23.07.2019;306-2407030-4877934;DPD Predict;1345057486423;3,02745E+13;
KL577262;KA511428;23.07.2019;306-2470791-8783506;;143233958843;1,51138E+13;
KL577265;KA511428;23.07.2019;306-2470791-8783506;GLS Normalpaket;352559613026;4,9569E+13;
KL577264;KA511428;23.07.2019;306-2470791-8783506;GLS Normalpaket;352559613033;4,9569E+13;
KL577263;KA511428;23.07.2019;306-2470791-8783506;GLS Normalpaket;352559613040;4,9569E+13;
KL574620;KA509492;23.07.2019;306-2566944-9671522;;352559619400;2,08221E+13;
KL574621;KA509492;23.07.2019;306-2566944-9671522;;352559619394;2,08221E+13;
KL574619;KA509493;23.07.2019;306-2591773-3368356;;352559619417;2,81803E+13;
KL574615;KA509497;23.07.2019;306-2654426-8076304;;352559619424;3,66283E+13;
KL577258;KA511431;23.07.2019;306-2913357-8065946;GLS Normalpaket;352559617321;1,47339E+13;
KL574609;KA509503;23.07.2019;306-3053774-3628347;DPD Predict;1345057486391;2,48346E+13;
KL577256;KA511433;23.07.2019;306-3100980-8198709;DPD Predict;1345057486094;6,56809E+13;
KL572951;KA507572;23.07.2019;306-3131682-7872312;GLS Normalpaket;352559616430;1,39268E+13;
KL574603;KA509509;23.07.2019;306-3213391-3374767;GLS Normalpaket;352559617239;6,38446E+13;
KL574602;KA509509;23.07.2019;306-3213391-3374767;GLS Normalpaket;352559612401;2,9368E+13;
KL574600;KA509511;23.07.2019;306-3235706-3761936;GLS Normalpaket;352559612784;4,17657E+13;
KL574599;KA509511;23.07.2019;306-3235706-3761936;GLS Normalpaket;352559612791;2,20373E+12;
KL574598;KA509512;23.07.2019;306-3241229-4002702;DPD Predict;1345057486313;6,45754E+13;
